Counts,Microbe,Reef Type,Location
2116263,bacteria,BAK,N
4239603,bacteria,BAK,N
3777616,bacteria,BAK,N
18968154,bacteria,BAK,E
2531699,bacteria,BAK,E
4687527,bacteria,BAK,E
16009633,bacteria,BAK,W
6677136,bacteria,BAK,W
11397030,bacteria,BAK,W
4699660,virus,BAK,N
5074784,virus,BAK,N
8435453,virus,BAK,N
11134797,virus,BAK,E
1730676,virus,BAK,E
3890263,virus,BAK,E
13427651,virus,BAK,W
7197509,virus,BAK,W
14658127,virus,BAK,W
5160602,bacteria,FRG,N
20256668,bacteria,FRG,N
14505311,bacteria,FRG,N
11462668,bacteria,FRG,E
17050424,bacteria,FRG,E
19947604,bacteria,FRG,E
18289039,bacteria,FRG,W
13562130,bacteria,FRG,W
7876582,bacteria,FRG,W
5866613,virus,FRG,N
16569134,virus,FRG,N
11840197,virus,FRG,N
6262843,virus,FRG,E
7912982,virus,FRG,E
6884005,virus,FRG,E
8820549,virus,FRG,W
7308892,virus,FRG,W
6454955,virus,FRG,W